末代皇帝,1987,9.3,943348
龙猫,1988,9.2,1325623
怦然心动,2010,9.1,1919004
活着,1994,9.3,897164
哈利·波特与魔法石,2001,9.2,1270190
蝙蝠侠：黑暗骑士,2008,9.2,1115781
指环王3：王者无敌,2003,9.3,846075
我不是药神,2018,9.0,2203150
乱世佳人,1939,9.3,728372
飞屋环游记,2009,9.1,1393774
素媛,2013,9.3,723360
哈尔的移动城堡,2004,9.1,1156066
十二怒汉,1957,9.4,526282
让子弹飞,2010,9.0,1786813
何以为家,2018,9.1,1095210
摔跤吧！爸爸,2016,9.0,1637482
海蒂和爷爷,2015,9.3,679206
猫鼠游戏,2002,9.1,1098222
天空之城,1986,9.2,934106
鬼子来了,2000,9.3,661155
少年派的奇幻漂流,2012,9.1,1405715
钢琴家,2002,9.3,685388
指环王2：双塔奇兵,2002,9.2,794806
大话西游之月光宝盒,1995,9.0,1275543
闻香识女人,1992,9.1,940746
